# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-81 -61 0 6abe30
-81 -60 0 6abe30
-81 -59 0 6abe30
-81 -58 0 6abe30
-81 -57 0 6abe30
-81 -56 0 6abe30
-81 -55 0 6abe30
-81 -54 0 6abe30
-81 -53 0 6abe30
-81 -52 0 6abe30
-81 -51 0 6abe30
-81 -50 0 6abe30
-81 -49 0 6abe30
-81 -48 0 6abe30
-81 -47 0 6abe30
-81 -46 0 6abe30
-81 -45 0 6abe30
-81 -44 0 6abe30
-81 -43 0 6abe30
-81 -42 0 6abe30
-81 -41 0 6abe30
-81 -40 0 6abe30
-81 -39 0 6abe30
-81 -38 0 6abe30
-81 -37 0 6abe30
-81 -36 0 6abe30
-81 -35 0 6abe30
-81 -34 0 6abe30
-81 -33 0 6abe30
-80 -75 0 6abe30
-79 -75 0 6abe30
-78 -75 0 6abe30
-77 -75 0 6abe30
-76 -75 0 6abe30
-75 -75 0 6abe30
-74 -75 0 6abe30
-73 -75 0 6abe30
-72 -75 0 6abe30
-71 -75 0 6abe30
-70 -75 0 6abe30
-69 -75 0 6abe30
-68 -75 0 6abe30
-67 -75 0 6abe30
-66 -75 0 6abe30
-65 -75 0 6abe30
-64 -75 0 6abe30
-63 -75 0 6abe30
-62 -75 0 6abe30
-61 -75 0 6abe30
-60 -75 0 6abe30
-59 -75 0 6abe30
-58 -75 0 6abe30
-57 -75 0 6abe30
-56 -75 0 6abe30
-55 -75 0 6abe30
-54 -75 0 6abe30
-53 -75 0 6abe30
-52 -75 0 6abe30
-51 -75 0 6abe30
-50 -75 0 6abe30
-49 -75 0 6abe30
-58 -74 0 6abe30
-58 -73 0 6abe30
-58 -72 0 6abe30
-58 -71 0 6abe30
-58 -70 0 6abe30
-58 -69 0 6abe30
-58 -68 0 6abe30
-58 -67 0 6abe30
-58 -66 0 6abe30
-58 -65 0 6abe30
-48 -75 0 6abe30
-47 -75 0 6abe30
-46 -75 0 6abe30
-45 -75 0 6abe30
-44 -75 0 6abe30
-43 -75 0 6abe30
-42 -75 0 6abe30
-41 -75 0 6abe30
-40 -75 0 6abe30
-39 -75 0 6abe30
-38 -75 0 6abe30
-37 -75 0 6abe30
-36 -75 0 6abe30
-35 -75 0 6abe30
-34 -75 0 6abe30
-33 -75 0 6abe30
-58 -64 0 6abe30
-58 -63 0 6abe30
-58 -62 0 6abe30
-58 -61 0 6abe30
-58 -60 0 6abe30
-58 -59 0 6abe30
-58 -58 0 6abe30
-58 -57 0 6abe30
-58 -56 0 6abe30
-58 -55 0 6abe30
